,Secciones,Indicadores de renta media y mediana,Periodo,Total
12985,2800704003 Alcorcón sección 04003,Renta neta media por hogar,2021,25.711
13027,2800704004 Alcorcón sección 04004,Renta neta media por hogar,2021,24.523
13069,2800704005 Alcorcón sección 04005,Renta neta media por hogar,2021,24.590
13111,2800704006 Alcorcón sección 04006,Renta neta media por hogar,2021,31.227
13153,2800704007 Alcorcón sección 04007,Renta neta media por hogar,2021,34.588
13195,2800704008 Alcorcón sección 04008,Renta neta media por hogar,2021,34.641
13237,2800704009 Alcorcón sección 04009,Renta neta media por hogar,2021,24.940
13279,2800704010 Alcorcón sección 04010,Renta neta media por hogar,2021,25.667
13321,2800704011 Alcorcón sección 04011,Renta neta media por hogar,2021,24.176
13363,2800704012 Alcorcón sección 04012,Renta neta media por hogar,2021,27.841
13405,2800704013 Alcorcón sección 04013,Renta neta media por hogar,2021,24.314
13447,2800704014 Alcorcón sección 04014,Renta neta media por hogar,2021,24.572
13489,2800704015 Alcorcón sección 04015,Renta neta media por hogar,2021,35.051
13531,2800704016 Alcorcón sección 04016,Renta neta media por hogar,2021,32.362
13573,2800704017 Alcorcón sección 04017,Renta neta media por hogar,2021,23.692
13615,2800704018 Alcorcón sección 04018,Renta neta media por hogar,2021,37.624
13657,2800704019 Alcorcón sección 04019,Renta neta media por hogar,2021,30.778
13699,2800704020 Alcorcón sección 04020,Renta neta media por hogar,2021,37.254
13741,2800704021 Alcorcón sección 04021,Renta neta media por hogar,2021,28.019
13783,2800704022 Alcorcón sección 04022,Renta neta media por hogar,2021,30.787
13825,2800704023 Alcorcón sección 04023,Renta neta media por hogar,2021,53.605
13867,2800704024 Alcorcón sección 04024,Renta neta media por hogar,2021,37.855
13909,2800704025 Alcorcón sección 04025,Renta neta media por hogar,2021,43.715
13951,2800704026 Alcorcón sección 04026,Renta neta media por hogar,2021,43.177
13993,2800704027 Alcorcón sección 04027,Renta neta media por hogar,2021,41.716
14035,2800704028 Alcorcón sección 04028,Renta neta media por hogar,2021,55.216
14077,2800704029 Alcorcón sección 04029,Renta neta media por hogar,2021,62.444
14119,2800704030 Alcorcón sección 04030,Renta neta media por hogar,2021,34.374
14161,2800704031 Alcorcón sección 04031,Renta neta media por hogar,2021,35.847
14203,2800704032 Alcorcón sección 04032,Renta neta media por hogar,2021,42.490
14245,2800704033 Alcorcón sección 04033,Renta neta media por hogar,2021,44.574
14287,2800704034 Alcorcón sección 04034,Renta neta media por hogar,2021,37.329
14329,2800704035 Alcorcón sección 04035,Renta neta media por hogar,2021,36.286
14455,2800801001 Aldea del Fresno sección 01001,Renta neta media por hogar,2021,28.998
14581,2800901001 Algete sección 01001,Renta neta media por hogar,2021,88.769
14623,2800901002 Algete sección 01002,Renta neta media por hogar,2021,36.997
14665,2800901003 Algete sección 01003,Renta neta media por hogar,2021,34.813
14707,2800901004 Algete sección 01004,Renta neta media por hogar,2021,35.914
14749,2800901005 Algete sección 01005,Renta neta media por hogar,2021,43.543
14791,2800901006 Algete sección 01006,Renta neta media por hogar,2021,39.147
14833,2800901007 Algete sección 01007,Renta neta media por hogar,2021,50.877
14875,2800901008 Algete sección 01008,Renta neta media por hogar,2021,59.539
14917,2800901009 Algete sección 01009,Renta neta media por hogar,2021,47.873
15043,2801001001 Alpedrete sección 01001,Renta neta media por hogar,2021,36.899
15085,2801001002 Alpedrete sección 01002,Renta neta media por hogar,2021,34.932
15127,2801001003 Alpedrete sección 01003,Renta neta media por hogar,2021,49.638
15169,2801001004 Alpedrete sección 01004,Renta neta media por hogar,2021,43.284
15211,2801001005 Alpedrete sección 01005,Renta neta media por hogar,2021,58.690
15253,2801001006 Alpedrete sección 01006,Renta neta media por hogar,2021,42.022
15295,2801001007 Alpedrete sección 01007,Renta neta media por hogar,2021,56.543
15337,2801001008 Alpedrete sección 01008,Renta neta media por hogar,2021,49.403
15463,2801101001 Ambite sección 01001,Renta neta media por hogar,2021,24.987
15589,2801201001 Anchuelo sección 01001,Renta neta media por hogar,2021,31.591
15715,2801301001 Aranjuez sección 01001,Renta neta media por hogar,2021,32.685
15757,2801301002 Aranjuez sección 01002,Renta neta media por hogar,2021,36.998
15799,2801301003 Aranjuez sección 01003,Renta neta media por hogar,2021,35.977
15841,2801301004 Aranjuez sección 01004,Renta neta media por hogar,2021,26.317
15883,2801301005 Aranjuez sección 01005,Renta neta media por hogar,2021,20.706
15925,2801301006 Aranjuez sección 01006,Renta neta media por hogar,2021,26.581
15967,2801301007 Aranjuez sección 01007,Renta neta media por hogar,2021,40.977
16009,2801301008 Aranjuez sección 01008,Renta neta media por hogar,2021,49.310
16051,2801301009 Aranjuez sección 01009,Renta neta media por hogar,2021,39.500
16135,2801302001 Aranjuez sección 02001,Renta neta media por hogar,2021,31.859
16177,2801302002 Aranjuez sección 02002,Renta neta media por hogar,2021,44.127
16219,2801302003 Aranjuez sección 02003,Renta neta media por hogar,2021,28.736
16261,2801302004 Aranjuez sección 02004,Renta neta media por hogar,2021,36.068
16303,2801302005 Aranjuez sección 02005,Renta neta media por hogar,2021,30.330
16345,2801302006 Aranjuez sección 02006,Renta neta media por hogar,2021,28.720
